1714829459.280094,1.000000,2
1714829461.283610,2.000000,2
1714829463.285804,2.500000,2
1714829463.785887,1.000000,2
1714829464.285860,1.000000,2
1714829464.785866,1.000000,2
1714829465.285866,1.000000,2
1714829465.785895,1.000000,2
1714829465.786515,2.000000,2
1714829465.786518,2.500000,2
1714829465.786521,3.000000,2
1714829465.786521,3.333333,2
1714829467.288545,1.000000,2
1714829467.787193,2.000000,2
1714829467.787215,2.500000,2
1714829467.787282,3.000000,2
1714829469.108410,1.000000,2
1714829469.789689,2.000000,2
1714829469.789710,2.500000,2
1714829471.109807,1.000000,2
1714829471.445778,1.000000,2
1714829473.101771,1.000000,2
1714829473.448603,2.000000,2
1714829473.448611,2.500000,2
